Type,AnneeSource,Nom,FGDB,SHP,Shape_Leng,Shape_Area,,
Extraction automatique RNCan,2015,Autobuilding_QC_2015_600014-47_MTM09,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-47_MTM09_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-47_MTM09_shp.zip,7,57746149471,0,32398376331
Extraction automatique RNCan,2013,Autobuilding_QC_R02_2013_F07_UG24,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_R02_2013_F07_UG24_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_R02_2013_F07_UG24_shp.zip,2,71159803915,0,11605317882
Extraction automatique RNCan,2013,Autobuilding_QC_R02_2013_F07_2451,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_R02_2013_F07_2451_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_R02_2013_F07_2451_shp.zip,7,49537912836,0,76592503240
Extraction automatique RNCan,2014,Autobuilding_QC_Mauricie_Sud,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_Mauricie_Sud_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_Mauricie_Sud_shp.zip,4,54277260686,0,51328252454
Extraction automatique RNCan,2014,Autobuilding_QC_Mauricie_Nord,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_Mauricie_Nord_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_Mauricie_Nord_shp.zip,6,75185902094,0,48521357188
Extraction automatique RNCan,2015,Autobuilding_QC_2015_600014-47_MTM08,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-47_MTM08_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-47_MTM08_shp.zip,2,2742975697,0,9854713874
Extraction automatique RNCan,2015,Autobuilding_QC_2015_600014-45_MTM09,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-45_MTM09_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-45_MTM09_shp.zip,5,35076260673,0,83748122160
Extraction automatique RNCan,2015,Autobuilding_QC_2015_600014-44_MTM09,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-44_MTM09_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-44_MTM09_shp.zip,5,26300316664,0,75731263172
Extraction automatique RNCan,2015,Autobuilding_QC_2015_600014-43_MTM09,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-43_MTM09_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-43_MTM09_shp.zip,6,87898044894,0,77435343259
Extraction automatique RNCan,2015,Autobuilding_QC_2015_600014-42_MTM09,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-42_MTM09_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-42_MTM09_shp.zip,9,37761447151,0,73300103394
